Unnamed: 0,Rain(mm),PET1(mm/h),Water Potential (MPa),Soil moisture (cm3/cm3),Corrected Total(cm/h),Total Flow(cm3/h)
2021-06-12 12:00:00,0.0,1.013292056542574,-1.26,0.11,6.20037569708915,755.3977427967222
2021-06-12 12:30:00,0.0,1.0119050827746354,-1.07,0.11,4.88698844762478,595.3865092630593
2021-06-12 13:00:00,0.0,0.4075792602842383,-1.09,0.10966666666666668,5.476812955260974,667.2453970920242
2021-06-12 13:30:00,0.0,0.4079579719275766,-1.2,0.10966666666666668,5.925250353240852,721.8789571807565
2021-06-12 14:00:00,0.0,1.465497625094612,-1.47,0.10833333333333334,6.379854588835638,777.2638290354325
2021-06-12 14:30:00,0.0,1.4685900525807158,-1.4,0.10833333333333334,5.674074630000048,691.2779769094299
2021-06-12 15:00:00,0.0,0.2727504281027351,-1.15,0.107,5.40310533138461,658.2655262868963
2021-06-12 15:30:00,0.0,0.272787171252045,-1.12,0.107,5.364463334107592,653.5577345422896
2021-06-12 16:00:00,0.0,0.1469761296567366,-1.12,0.10733333333333334,4.970511208270844,605.562167633859
2021-06-12 16:30:00,0.0,0.1470696570427247,-1.29,0.10733333333333334,5.500388179394248,670.1175893536257
2021-06-12 17:00:00,0.0,0.2219743238419362,-1.29,0.106,6.183914066680604,753.3922065097506
2021-06-12 17:30:00,0.0,0.2220474466364676,-1.39,0.106,6.42326226584117,782.55222813122
2021-06-12 18:00:00,0.0,0.8362993043840742,-1.3,0.10433333333333333,6.452622662431027,786.1292335249425
2021-06-12 18:30:00,0.0,0.8361839991002009,-1.18,0.10433333333333333,6.367020530173342,775.7002433080435
2021-06-12 19:00:00,0.0,0.5221876957589959,-1.14,0.10233333333333333,5.481043940970217,667.7608621558699
2021-06-12 19:30:00,0.0,0.5230799055916354,-1.17,0.10233333333333333,5.839012186484584,711.3724782683262
2021-06-12 20:00:00,0.0,0.1259751780681237,-1.06,0.10133333333333333,5.595357972743507,681.6878507433639
2021-06-12 20:30:00,0.0,0.1259859323935138,-1.03,0.10133333333333333,5.392839430624833,657.0148217101798
2021-06-12 21:00:00,0.0,0.0003118482857762,-0.9,0.10266666666666667,4.08989636946668,498.2760136967259
2021-06-12 21:30:00,0.0,0.0003172380965535,-0.86,0.10266666666666667,3.574432734903777,435.4765826516989
2021-06-12 22:00:00,0.0,0.0003683430177527,-0.69,0.104,3.1442498297849153,383.06698500923966
2021-06-12 22:30:00,0.0,0.0007929388478827,-0.6,0.104,2.5418548727024195,309.6766272175539
2021-06-12 23:00:00,0.0,0.000829802363059,-0.55,0.105,1.6636391824057586,202.6827638537248
2021-06-12 23:30:00,0.0,0.000432152968559,-0.48,0.105,1.566354979795288,190.83053575467133
2021-06-13 00:00:00,0.0,0.0007216446068537,-0.5,0.105,0.0224415994500075,2.734081674638254
2021-06-13 00:30:00,0.0,0.0007339724484148,-0.5,0.105,0.9874903471019314,120.30690004551596
2021-06-13 01:00:00,0.0,1.531998153139511e-06,-0.48,0.10566666666666667,0.3028348262259743,36.89465854121283
2021-06-13 01:30:00,0.0,1.5552145010711482e-06,-0.52,0.10566666666666667,1.3222994111215822,161.09701077171945
2021-06-13 02:00:00,0.0,1.6374207163207347e-06,-0.48,0.106,0.496337856202247,60.46931904719237
2021-06-13 02:30:00,0.0,0.0008116796690623,-0.46,0.106,0.2337897538627285,28.482830877460483
2021-06-13 03:00:00,0.0,1.666239953695814e-06,-0.48,0.10633333333333334,0.1670932666155345,20.357133600333647
2021-06-13 03:30:00,0.0,1.676626377089238e-06,-0.49,0.10633333333333334,0.7534481571514116,91.79331463635712
